trial_id,model,A_word,B_word,A_popularity,B_popularity,A_upos,B_upos,A_domain,B_domain,A_abstraction,B_abstraction,A_polysemy,B_polysemy,identity_success,prompt,raw_response,parsed_answer
1,gpt-5,starfish,typical,8,7,0.417948,0.948779,NOUN,ADJ,noun.animal,adj.all,0.975000,0.130000,0.000000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

starfish : starfish :: typical : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: typical,typical
2,gpt-5,probability,ironclad,11,8,0.860977,0.184924,NOUN,NOUN,noun.attribute,noun.artifact,0.162500,0.397500,0.100000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

probability : probability :: ironclad : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: ironclad,ironclad
3,gpt-5,appealing,hereafter,9,9,0.847077,0.491870,VERB,NOUN,verb.emotion,noun.time,0.292500,0.160000,0.600000,0.400000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

appealing : appealing :: hereafter : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: hereafter,hereafter
4,gpt-5,pike,authoritarianism,4,16,0.768415,0.423548,NOUN,NOUN,noun.food,noun.group,0.812500,0.167500,0.400000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

pike : pike :: authoritarianism : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: authoritarianism,authoritarianism
5,gpt-5,malfunction,conceivably,11,11,0.602192,0.377668,NOUN,ADV,noun.event,adv.all,0.435000,0.187500,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

malfunction : malfunction :: conceivably : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: conceivably,conceivably
6,gpt-5,loathing,fabulously,8,10,0.528231,0.157463,VERB,ADV,verb.emotion,adv.all,0.222500,0.155000,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

loathing : loathing :: fabulously : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: fabulously,fabulously
7,gpt-5,impaired,killer,8,6,0.768855,0.936499,ADJ,NOUN,adj.all,noun.person,0.360000,0.577500,0.300000,0.300000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

impaired : impaired :: killer : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: killer,killer
8,gpt-5,blonde,fuss,6,4,0.866877,0.747895,NOUN,NOUN,noun.person,noun.state,0.880000,0.357500,0.200000,0.500000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

blonde : blonde :: fuss : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: fuss,fuss
9,gpt-5,flagship,come,8,4,0.792696,0.996800,NOUN,VERB,noun.artifact,verb.change,0.722500,0.430000,0.100000,1.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

flagship : flagship :: come : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: come,come
10,gpt-5,sedan,aqueduct,5,8,0.719714,0.371187,NOUN,NOUN,noun.artifact,noun.artifact,0.930000,0.905000,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sedan : sedan :: aqueduct : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: aqueduct,aqueduct
11,gpt-5,scarring,goop,8,4,0.468249,0.070241,VERB,NOUN,verb.contact,noun.substance,0.455000,0.827500,0.000000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

scarring : scarring :: goop : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: goop,goop
12,gpt-5,schoolmaster,reasonable,12,10,0.209104,0.948999,NOUN,ADJ,noun.person,adj.all,0.940000,0.195000,0.200000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

schoolmaster : schoolmaster :: reasonable : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: reasonable,reasonable
13,gpt-5,crybaby,aromatherapy,7,12,0.224084,0.073701,NOUN,NOUN,noun.person,noun.act,0.572500,0.552500,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

crybaby : crybaby :: aromatherapy : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: aromatherapy,aromatherapy
14,gpt-5,tangible,teacher,8,7,0.760335,0.971799,ADJ,NOUN,adj.all,noun.cognition,0.442500,0.880000,0.300000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

tangible : tangible :: teacher : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: teacher,teacher
15,gpt-5,respectability,gripping,14,8,0.273685,0.638193,NOUN,VERB,noun.attribute,verb.emotion,0.197500,0.575000,0.000000,0.300000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

respectability : respectability :: gripping : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: gripping,gripping
16,gpt-5,moustache,unionization,9,12,0.574251,0.052101,NOUN,NOUN,noun.body,noun.act,0.990000,0.317500,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

moustache : moustache :: unionization : ____. 

Here is one example. 
rose : rose :: flower : flower",ANSWER: unionization,unionization
