trial_id,model,A_word,B_word,A_popularity,B_popularity,A_upos,B_upos,A_domain,B_domain,A_abstraction,B_abstraction,A_polysemy,B_polysemy,identity_success,prompt,raw_response,parsed_answer
1,gpt-5,buyer,gyro,5,4,0.864697,0.326647,NOUN,NOUN,noun.person,noun.food,0.840000,0.865000,0.000000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

buyer : buyer :: gyro : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: gyro,gyro
2,gpt-5,annoying,emphysema,8,9,0.928039,0.186384,VERB,NOUN,verb.emotion,noun.state,0.327500,0.662500,0.200000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

annoying : annoying :: emphysema : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: emphysema,emphysema
3,gpt-5,notoriety,extension,9,9,0.545011,0.935399,NOUN,NOUN,noun.state,noun.artifact,0.250000,0.482500,0.000000,1.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

notoriety : notoriety :: extension : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: extension,extension
4,gpt-5,heave,passivity,5,9,0.343187,0.055041,NOUN,NOUN,noun.act,noun.attribute,0.667500,0.150000,1.000000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

heave : heave :: passivity : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: passivity,passivity
5,gpt-5,allies,mailed,6,6,0.909938,0.700194,NOUN,VERB,noun.group,verb.communication,0.620000,0.672500,0.500000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

allies : allies :: mailed : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: mailed,mailed
6,gpt-5,liable,masculinity,6,11,0.831017,0.642113,ADJ,NOUN,adj.all,noun.attribute,0.260000,0.417500,0.300000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

liable : liable :: masculinity : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: masculinity,masculinity
7,gpt-5,statistics,affix,10,5,0.949959,0.096182,NOUN,NOUN,noun.cognition,noun.communication,0.597500,0.360000,0.100000,0.300000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

statistics : statistics :: affix : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: affix,affix
8,gpt-5,fax,swing,3,5,0.751635,0.918998,NOUN,VERB,noun.artifact,verb.social,0.870000,0.885000,0.100000,1.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fax : fax :: swing : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: swing,swing
9,gpt-5,sitting,asymmetry,7,9,0.970639,0.329607,VERB,NOUN,verb.stative,noun.attribute,0.690000,0.472500,1.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sitting : sitting :: asymmetry : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: asymmetry,asymmetry
10,gpt-5,sign,actuarial,4,9,0.982320,0.253845,NOUN,ADJ,noun.event,adj.pert,0.905000,0.332500,1.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sign : sign :: actuarial : ____. 

Here are some examples. 
rose : rose :: flower : flower 
apple : apple :: fruit : fruit 
cat : cat :: dog : dog",ANSWER: actuarial,actuarial
