A,B,C
patch,patch,federal
peddler,peddler,bullish
empowerment,empowerment,conspicuously
readily,readily,devotee
ironclad,ironclad,vegetative
nervousness,nervousness,aimlessly
periodically,periodically,optimal
canvass,canvass,rendering
helpline,helpline,breakout
millennial,millennial,babe
lot,lot,evolve
put,put,obsolete
flaring,flaring,clinically
stinging,stinging,similarly
teeny,teeny,wrongly
intervene,intervene,connection
sizeable,sizeable,disastrous
brisket,brisket,cannibal
dumbbell,dumbbell,wishing
crucial,crucial,hydrothermal
