A,B,C
granny,granny,rig
screenwriting,screenwriting,outpatient
terribly,terribly,fate
sprung,sprung,destroy
strongman,strongman,treatable
relaxed,relaxed,gulf
stylistic,stylistic,smile
stifle,stifle,gauntlet
mutiny,mutiny,formula
taste,taste,rebound
life,life,resolve
path,path,blaster
rectified,rectified,morale
interracial,interracial,bedtime
prepaid,prepaid,conceptualize
hierarchical,hierarchical,folk
diss,diss,unlike
sizes,sizes,membrane
defunct,defunct,mural
grappling,grappling,devious
