A,B,C
starving,starving,frustrating
inflection,inflection,chair
detergent,detergent,fluoride
exclusive,exclusive,temporarily
flux,flux,figurine
absenteeism,absenteeism,newspaper
urge,urge,leak
pretended,pretended,cerebellum
phantom,phantom,councilor
rabies,rabies,hiss
pull,pull,horse
livery,livery,anemia
pantyhose,pantyhose,dutifully
fathom,fathom,guidebook
undead,undead,pellet
turtle,turtle,retainer
refuse,refuse,barn
composite,composite,swimsuit
buckled,buckled,affecting
capitulation,capitulation,asleep
