A,B,C
bode,bode,staffing
instrumentation,instrumentation,yeast
asteroid,asteroid,playmate
propriety,propriety,sewage
usurper,usurper,stupidly
lol,lol,spy
teenager,teenager,horseback
rampant,rampant,steamer
clerk,clerk,watched
comics,comics,resistant
swarming,swarming,erode
multiplicity,multiplicity,likelihood
modem,modem,chiffon
interconnect,interconnect,drummer
loathsome,loathsome,social
undersized,undersized,incarceration
count,count,dangling
treat,treat,dissolving
weathered,weathered,bearer
control,control,join
