triple_id,relation_key,A,B,C
134,cause_purpose,kettle,heat,sickness
222,contrast,familiar,foreign,tired
448,similar,sprung,emerged,notions
64,case_relations,smoker,cigarette,dodge
192,class_inclusion,religion,Catholicism,harm
83,case_relations,eat,snack,broadcast
224,contrast,upwards,downwards,lesser
290,non_attribute,riches,broke,dust
139,cause_purpose,tornado,alerts,academics
100,case_relations,stamping,mail,charges
478,space_time,hells,heat,meeting
189,class_inclusion,story,legend,toes
438,similar,fathers,parents,prize
153,class_inclusion,fitness,flexibility,tribes
412,similar,instant,second,bothers
423,similar,marked,wrote,picked
420,similar,bells,jingles,picked
6,attribute,torpedoes,underwater,yards
376,reference,vouchers,discount,marker
214,contrast,depart,stay,ending
