triple_id,relation_key,A,B,C
75,case_relations,broadcast,show,dentist
38,attribute,grids,organized,pumpkin
476,space_time,wartime,weapon,holiday
20,attribute,cake,sugary,matrices
3,attribute,torpedoes,rapid,cube
345,part_whole,catalogue,item,demonstration
71,case_relations,operators,train,panther
27,attribute,scooter,electronic,woods
183,class_inclusion,regimes,Taliban,chemical
244,contrast,growth,stagnation,familiar
178,class_inclusion,lakes,Eerie,analysis
122,cause_purpose,alarm,alertness,question
226,contrast,growth,decline,advanced
441,similar,estimate,conjecture,delight
440,similar,classes,courses,presented
124,cause_purpose,academics,papers,lecturers
271,non_attribute,trash,clean,dust
234,contrast,breaks,accelerates,ending
274,non_attribute,boiler,chilled,mistakes
231,contrast,broken,new,harder
