triple_id,relation_key,A,B,C
256,non_attribute,loves,hateful,dwarfs
62,case_relations,crabs,claw,leaking
119,cause_purpose,meme,laughter,mug
21,attribute,dish,flat,cowboy
414,similar,wounded,hurt,nicer
169,class_inclusion,tier,premium,charts
496,space_time,carnival,ferris-wheel,residence
364,reference,coupon,discount,brand
306,part_whole,instrumentation,percussion,outfit
269,non_attribute,fairytale,true,athlete
120,cause_purpose,pinch,pain,bang
193,class_inclusion,fitness,cardiovascular,harm
473,space_time,cities,streets,savannah
94,case_relations,traveler,luggage,waste
296,non_attribute,cookie,inedible,silk
349,part_whole,labour,boss,basket
55,case_relations,erase,eraser,unravel
449,similar,notions,concepts,prize
335,part_whole,earth,sea,radiator
51,case_relations,poisons,murder,broadcast
