triple_id,relation_key,A,B,C
220,contrast,equals,approximates,growth
10,attribute,grids,measured,eruption
73,case_relations,digs,grave,bang
190,class_inclusion,dimension,time,relationship
428,similar,beauty,elegance,delight
328,part_whole,resume,job,tomb
137,cause_purpose,concerts,noise,question
146,cause_purpose,threat,panic,pirates
409,similar,sprung,jumped,classes
53,case_relations,catcher,glove,leaking
149,cause_purpose,movie,entertainment,cars
245,contrast,intellectual,idiotic,rejects
336,part_whole,labour,job,church
372,reference,badge,achievement,flashback
320,part_whole,portfolio,paper,basket
11,attribute,chicken,flightless,squirrel
482,space_time,woods,leaves,lakes
82,case_relations,educate,classroom,broadcast
101,cause_purpose,blossom,flower,coin
88,case_relations,pupil,flashcards,journalists
