triple_id,relation_key,A,B,C
330,part_whole,cow,udder,labour
9,attribute,eruption,hot,comedy
413,similar,preserve,store,predicted
30,attribute,junk,trashy,eruption
261,non_attribute,cookie,frozen,fluid
447,similar,awful,terrible,functioning
52,case_relations,bang,gavel,government
109,cause_purpose,stomach,digestion,cavity
465,space_time,conferences,talk,outdoors
60,case_relations,government,legislation,shaves
79,case_relations,pupil,pencil,broadcast
210,contrast,broken,amended,wisdom
37,attribute,squirrel,furry,air
258,non_attribute,nervousness,calm,gibberish
42,attribute,diamonds,bright,fires
460,space_time,lakes,water,graveyard
215,contrast,preserved,wasted,straight
424,similar,warning,alarm,icy
488,space_time,woods,deer,village
406,similar,fathers,dads,presents
