triple_id,relation_key,A,B,C
144,cause_purpose,blossom,flowers,custodian
469,space_time,weekends,Sautrday,outdoors
164,class_inclusion,sport,golf,craftsmen
44,attribute,rat,mouselike,films
78,case_relations,unravel,yarn,nodded
129,cause_purpose,waste,disposal,wineries
163,class_inclusion,exams,pop-quiz,poll
299,non_attribute,whales,miniscule,loves
138,cause_purpose,snowing,snowdays,stomach
486,space_time,disneyland,rides,clinics
463,space_time,village,road,cities
287,non_attribute,gibberish,english,tornado
461,space_time,lakes,wildlife,nights
103,cause_purpose,boiler,heat,movie
360,reference,prizes,accomplishment,symbols
115,cause_purpose,pirates,shipwreck,lecturers
93,case_relations,canceling,plans,crabs
397,reference,coupon,discount,badge
133,cause_purpose,politician,laws,concerts
102,cause_purpose,booklet,education,stomach
