triple_id,relation_key,A,B,C
247,contrast,tired,energetic,broke
63,case_relations,government,laws,stamping
263,non_attribute,excitement,collected,bang
348,part_whole,church,steeple,arrows
497,space_time,paradise,bliss,afternoon
492,space_time,hells,devil,pier
393,reference,report,event,motif
498,space_time,morning,sun,subway
442,similar,collection,group,predicted
199,class_inclusion,instrumentation,brass,toes
41,attribute,greece,historic,lions
228,contrast,functional,broken,utility
365,reference,bets,opinion,diagram
32,attribute,films,artistic,greece
26,attribute,pasta,delicious,eruption
7,attribute,farmers,agricultural,injury
166,class_inclusion,crafts,knitting,craftsmen
198,class_inclusion,attachment,button,lakes
81,case_relations,locks,door,leaking
176,class_inclusion,action,exit,tribes
