triple_id,relation_key,A,B,C
172,class_inclusion,lakes,Superior,section
407,similar,breaking,snapping,induced
254,non_attribute,enemies,friendly,junior
391,reference,diagram,system,writings
404,similar,estimate,guess,nicer
416,similar,preserve,keep,breaking
422,similar,bothers,annoys,estimate
358,reference,likeness,person,agendas
446,similar,teaching,instructing,classes
187,class_inclusion,education,college,disasters
104,cause_purpose,ovens,burning,custodian
282,non_attribute,fossils,new,errors
216,contrast,harder,easier,familiar
313,part_whole,basket,rim,midwest
167,class_inclusion,craftsmen,blacksmith,tier
252,non_attribute,athlete,overweight,injustices
321,part_whole,evaluation,rating,transportation
8,attribute,grids,square,indonesia
394,reference,polls,opinions,ambassadors
319,part_whole,furnace,boiler,chicken
