triple_id,relation_key,A,B,C
277,non_attribute,loves,resentful,nervousness
180,class_inclusion,attachment,file,storage
118,cause_purpose,alarm,waking,sickness
77,case_relations,eat,brunch,sketch
5,attribute,farmers,natural,fires
155,class_inclusion,regimes,Nazis,craftsmen
85,case_relations,academics,lecture,panther
22,attribute,thorn,spikey,squirrel
67,case_relations,subscribe,netflix,educate
266,non_attribute,bang,quiet,relic
223,contrast,advances,retracts,keeping
302,part_whole,basket,handle,tomb
132,cause_purpose,smiles,joy,threat
475,space_time,metropolis,tower,hells
343,part_whole,analysis,unit,demonstration
285,non_attribute,bang,peaceful,skyscraper
388,reference,passports,person,blueprint
411,similar,predicted,guessed,instant
433,similar,functioning,working,wondering
111,cause_purpose,bang,noise,boiler
