triple_id,relation_key,A,B,C
218,contrast,smooth,rough,ending
131,cause_purpose,stomach,growling,cologne
381,reference,questionnaires,population,diagram
188,class_inclusion,action,flee,skirt
257,non_attribute,overheating,cool,junior
89,case_relations,dodge,danger,sketch
268,non_attribute,land,liquid,rains
439,similar,delight,joy,involved
159,class_inclusion,sport,badminton,instrumentation
58,case_relations,bang,bomb,proclaim
72,case_relations,smoker,pipe,bang
143,cause_purpose,applauding,bows,cars
61,case_relations,pupil,exam,businessman
68,case_relations,sing,song,pirates
161,class_inclusion,tier,professional,ventilation
379,reference,debt,value,bets
18,attribute,cube,geometric,matrices
316,part_whole,transportation,vehicle,telescope
344,part_whole,basket,exterior,story
211,contrast,starts,ends,preserved
