triple_id,relation_key,A,B,C
117,cause_purpose,blossom,bloom,blender
225,contrast,growth,plateau,permits
437,similar,collect,gather,bothers
400,reference,badge,accomplishment,estimates
142,cause_purpose,lecturers,studying,concerts
217,contrast,forgotten,remembered,withdraw
353,reference,pronoun,object,listing
168,class_inclusion,basket,picnic-basket,hat
455,space_time,holidays,present,clinics
352,reference,news,event,questionnaires
99,case_relations,smoker,cigar,government
202,contrast,defend,attack,contracts
362,reference,calendars,date,capsule
260,non_attribute,mistakes,accurate,terror
374,reference,questionnaires,opinion,coupon
248,contrast,plain,detailed,applied
273,non_attribute,diamonds,rusted,relic
185,class_inclusion,transportation,bicycle,action
325,part_whole,organs,lungs,storage
430,similar,yell,scream,sprung
