triple_id,relation_key,A,B,C
184,class_inclusion,story,myth,analysis
36,attribute,manhattan,busy,logs
114,cause_purpose,blossom,scent,kettle
1,attribute,sirens,loud,aluminum
181,class_inclusion,exchanges,transaction,skirt
495,space_time,carnival,ride,weekends
474,space_time,conferences,meetings,village
74,case_relations,stamping,letter,competitors
462,space_time,village,hut,dock
487,space_time,weekends,relaxation,hells
251,non_attribute,gibberish,sensical,terror
28,attribute,hens,fluffy,sirens
408,similar,pretend,play,estimate
157,class_inclusion,skirt,poodle-skirt,dimension
418,similar,wondering,pondering,classes
243,contrast,functional,faulty,lies
341,part_whole,scissors,handle,analysis
264,non_attribute,routine,new,skyscraper
356,reference,estimates,quantities,flashback
152,class_inclusion,tribes,Navajo,organs
