triple_id,relation_key,A,B,C
286,non_attribute,tornado,still,overheating
444,similar,presents,showcases,beast
246,contrast,ending,beginning,defend
253,non_attribute,heights,shallow,zombies
160,class_inclusion,exams,MCAT,sport
415,similar,amazing,great,presented
230,contrast,smooth,choppy,lying
158,class_inclusion,brand,Nike,soap
206,contrast,broke,fixed,applied
386,reference,likeness,face,plan
392,reference,disciplines,ideas,coupon
141,cause_purpose,poisons,illness,punches
19,attribute,parties,fun,dish
333,part_whole,subway,sandwich,midwest
80,case_relations,wastes,time,broadcast
380,reference,agendas,schedules,news
56,case_relations,dodge,ball,athlete
294,non_attribute,routine,exhilarating,zombies
275,non_attribute,dust,clean,skyscraper
265,non_attribute,rains,dry,trash
