triple_id,relation_key,A,B,C
40,attribute,pasta,cheesy,farmers
369,reference,certifications,qualifications,handshake
106,cause_purpose,shoes,protection,waste
76,case_relations,defend,castle,politician
86,case_relations,wastes,trash,pupil
259,non_attribute,error,correct,fairytale
300,non_attribute,blossom,wintry,bang
212,contrast,feminine,masculine,contracts
377,reference,units,quantities,labels
272,non_attribute,dwarfs,tall,injustices
47,attribute,song,audible,parties
499,space_time,kansas,farm,resorts
378,reference,token,object,bets
182,class_inclusion,tier,entry-level,capability
96,case_relations,educate,tutorial,canceling
284,non_attribute,ovens,frozen,mistakes
314,part_whole,demonstration,example,countryside
90,case_relations,wolverine,claw,nodded
322,part_whole,skirt,waistband,furnace
288,non_attribute,excitement,bored,sunroof
