triple_id,relation_key,A,B,C
315,part_whole,galaxy,Earth,countryside
241,contrast,depart,come,functional
323,part_whole,labour,laborer,radiator
221,contrast,concentrated,dispersed,silence
350,part_whole,storage,compartment,radish
249,contrast,goodness,evil,intellectual
156,class_inclusion,capability,athleticism,relationship
493,space_time,disneyland,lines,lakes
417,similar,beauty,grace,bothers
347,part_whole,storage,shelf,spacecraft
458,space_time,residence,kitchen,space
485,space_time,colleges,classes,autumn
373,reference,flashback,event,polls
301,part_whole,midwest,Illinois,analysis
49,attribute,appointment,scheduled,popcorn
491,space_time,nights,darkness,dusk
289,non_attribute,air,wet,disinformation
87,case_relations,erase,mistake,smoker
450,similar,upsetting,disturbing,predicted
361,reference,symbols,entity,handshake
