triple_id,relation_key,A,B,C
255,non_attribute,cookie,spicy,land
201,contrast,intellectual,stupid,functional
196,class_inclusion,charts,pie-chart,chemical
207,contrast,encouraging,discouraging,utility
357,reference,census,population,memoir
227,contrast,advances,setbacks,familiar
151,class_inclusion,exams,SAT,brand
232,contrast,smooth,difficult,defend
304,part_whole,scissors,blade,gym
200,class_inclusion,turtles,snapping,soap
283,non_attribute,torpedo,sluggish,disinformation
135,cause_purpose,tornado,wind,booklet
359,reference,news,incidence,motif
426,similar,warning,alert,pinnacle
130,cause_purpose,kettle,boil,boiler
292,non_attribute,rains,dehydrated,smiles
54,case_relations,pirates,hook,academics
281,non_attribute,mistakes,correct,fires
25,attribute,fires,warm,heroin
24,attribute,branches,spikey,pumpkin
