triple_id,relation_key,A,B,C
370,reference,token,value,agendas
23,attribute,sirens,audible,branches
219,contrast,growth,shrinkage,fat
481,space_time,woods,wildlife,colleges
31,attribute,squirrel,nimble,song
452,space_time,rivers,water,oxford
451,space_time,kansas,field,holiday
65,case_relations,businessman,meetings,digs
150,cause_purpose,microwaves,heat,snowing
291,non_attribute,dwarfs,giant,enemies
332,part_whole,maps,scale,labour
431,similar,wounded,injured,soften
470,space_time,metropolis,skyscraper,pier
70,case_relations,digs,hole,carry
371,reference,listing,property,catalog
327,part_whole,labour,worker,spacecraft
490,space_time,daytime,sun,holidays
339,part_whole,analysis,description,portfolio
35,attribute,films,cinematographic,yards
367,reference,marker,position,ambassadors
