triple_id,relation_key,A,B,C
237,contrast,specialized,generalized,forgotten
59,case_relations,competitors,race,journalists
126,cause_purpose,meme,amusement,cars
17,attribute,aluminum,thin,copper
401,similar,goodbye,farewell,awful
459,space_time,caribbean,island,paradise
326,part_whole,church,pastor,organs
194,class_inclusion,education,elementary,section
112,cause_purpose,academics,learning,kettle
402,similar,exchanged,gave,warning
197,class_inclusion,action,laughing,relative
239,contrast,broke,wealthy,plain
209,contrast,stays,leaves,encouraging
270,non_attribute,fossils,modern,dwarfs
69,case_relations,subscribe,channel,rains
435,similar,tough,chewy,pretend
116,cause_purpose,government,rules,dogs
127,cause_purpose,kettle,tea,sketch
456,space_time,daytime,sunlight,lakes
46,attribute,matrices,rectangular,fires
