triple_id,relation_key,A,B,C
208,contrast,contracts,expands,functional
466,space_time,heaven,angel,subway
136,cause_purpose,smiles,happiness,pinch
50,attribute,wool,itchy,cells
312,part_whole,crafts,material,profile
95,case_relations,panther,fangs,sing
363,reference,notes,material,report
337,part_whole,earth,land,evaluation
351,reference,deal,agreement,marker
464,space_time,dock,plank,wartime
483,space_time,pier,boat,dusk
267,non_attribute,athlete,unathletic,weights
471,space_time,clinics,doctor,graveyard
276,non_attribute,alarm,soft,relic
387,reference,vouchers,credit,certifications
148,cause_purpose,politician,legislation,punches
368,reference,discography,artist,writings
445,similar,bothers,irritates,classes
105,cause_purpose,punches,pain,oder
427,similar,teaching,educating,instant
