triple_id,relation_key,A,B,C
39,attribute,eruption,volcanic,injury
390,reference,address,location,polls
162,class_inclusion,story,fairytale,regimes
154,class_inclusion,wines,Cabernet,capability
107,cause_purpose,concerts,music,boiler
179,class_inclusion,table,picnic-table,monitor
140,cause_purpose,band,albums,stomach
384,reference,representatives,referent,estimates
472,space_time,conferences,keynotes,space
204,contrast,broke,rich,direct
97,case_relations,rains,umbrella,waste
57,case_relations,shaves,hair,charges
279,non_attribute,dust,prestine,silk
43,attribute,sunshine,radiant,branches
436,similar,preserve,jam,warning
477,space_time,meeting,notes,conferences
177,class_inclusion,situation,interview,dimension
113,cause_purpose,blender,puree,wineries
16,attribute,rat,nocturnal,logs
229,contrast,harder,easier,defend
