triple_id,relation_key,A,B,C
454,space_time,conferences,session,cave
250,contrast,keeping,leaving,lesser
443,similar,classes,seminars,irritation
318,part_whole,maps,legend,cabinet
110,cause_purpose,pirates,raids,blender
484,space_time,graveyard,tomb,homes
123,cause_purpose,strikeouts,outs,smiles
195,class_inclusion,situation,emergency,display
48,attribute,branches,twiggy,appointment
240,contrast,advances,obstacles,harder
307,part_whole,evaluation,question,crafts
66,case_relations,operators,addition,competitors
309,part_whole,tomb,stone,table
280,non_attribute,routine,novel,germ
457,space_time,colleges,building,manhattan
308,part_whole,militia,soldier,church
108,cause_purpose,batteries,charging,oder
385,reference,catalog,list,likeness
171,class_inclusion,charts,bar-chart,section
205,contrast,silence,noise,advances
