triple_id,relation_key,A,B,C
399,reference,estimates,valuations,symbols
186,class_inclusion,education,highschool,charts
12,attribute,aluminum,grey,cells
398,reference,coupon,deal,syllabus
121,cause_purpose,oder,smell,politician
238,contrast,forgotten,reminded,advanced
405,similar,pinnacle,top,collection
494,space_time,clinics,patient,nights
479,space_time,greece,island,cities
489,space_time,colleges,professors,dock
173,class_inclusion,situation,first-date,outfit
331,part_whole,countryside,plain,telescope
317,part_whole,storage,box,labour
419,similar,preserve,jelly,tough
311,part_whole,arrows,arrowhead,prison
425,similar,nicer,kinder,upsetting
396,reference,news,story,sirens
278,non_attribute,disinformation,real,torpedo
467,space_time,village,villager,colleges
403,similar,creature,animal,buck
