triple_id,relation_key,A,B,C
147,cause_purpose,pencils,notetaking,stomach
92,case_relations,proclaim,speech,shaves
298,non_attribute,germ,clean,blues
395,reference,brand,style,diagram
84,case_relations,broadcast,signal,canceling
340,part_whole,galaxy,planet,cabinet
4,attribute,pupils,black,junk
2,attribute,branches,wooden,sunshine
213,contrast,rejects,accepts,advanced
382,reference,listing,item,sirens
354,reference,kilometers,distance,listing
262,non_attribute,injustices,fair,tornado
14,attribute,sirens,piercing,pasta
174,class_inclusion,transportation,train,crafts
235,contrast,enlarged,shrunk,specialized
13,attribute,greece,beachy,squirrel
165,class_inclusion,analysis,explanation,soap
175,class_inclusion,table,bedside,basket
429,similar,pretend,fake,prize
98,case_relations,carry,bag,erase
