triple_id,relation_key,A,B,C
342,part_whole,militia,commander,earth
324,part_whole,education,class,conference
297,non_attribute,fairytale,truthful,torpedo
295,non_attribute,weights,light,routine
334,part_whole,evaluation,conclusion,radiator
242,contrast,encouraging,demoralizing,enlarged
45,attribute,chicken,edible,rainbow
480,space_time,neighborhoods,homes,holidays
303,part_whole,profile,bio,prison
305,part_whole,chicken,thigh,gym
233,contrast,concentrated,goofed-off,advances
29,attribute,woods,dense,elephants
310,part_whole,tomb,casket,arrows
15,attribute,cowboy,texan,fires
366,reference,symbols,objects,passports
145,cause_purpose,ovens,cooking,meme
421,similar,notions,ideas,fathers
33,attribute,taxi,callable,popcorn
355,reference,catalog,items,kilometers
432,similar,outstanding,fantastic,sprung
