Set_Number,Item_Order,comparison_id,triple_id,analogy_prompt,completion_1,completion_2,completion_1_source,completion_2_source,human_is_completion,human_participant_id,llm_model_name,llm_prompt_type,llm_prompt_family
1,1,1629,467,village : villager :: colleges : ____,student,student,human,llm,1,R_5sBA4KEFxnqJTeV,google/gemini-3.1-flash-lite-preview,colon,zero_shot
1,2,46,100,stamping : mail :: charges : ____,file,battery,human,llm,1,R_53bY0nDQzQaGVtn,deepseek-ai/DeepSeek-V3,colon,zero_shot
1,3,1182,66,operators : addition :: competitors : ____,participants,competition,human,llm,1,R_8Nz6tdiBzcr7cU6,openai/gpt-4.1,colon,zero_shot
1,4,1428,457,colleges : building :: manhattan : ____,Chicago,borough,human,llm,1,R_8Nz6tdiBzcr7cU6,deepseek/deepseek-v3.2,colon,zero_shot
1,5,792,54,pirates : hook :: academics : ____,book,Degree,llm,human,2,R_2nGxSy4I11kQSTs,openai/gpt-4.1,colon,zero_shot
1,6,1064,83,eat : snack :: broadcast : ____,television,transmit,human,llm,1,R_53bY0nDQzQaGVtn,openai/gpt-5.4-mini,colon,zero_shot
1,7,1686,181,exchanges : transaction :: skirt : ____,garment,Shopping,llm,human,2,R_2fYUbjMObWLl8TT,gpt-4o,colon,zero_shot
1,8,654,3,torpedoes : rapid :: cube : ____,Solid,solid,human,llm,1,R_31Hrt0CoTetm3QF,openai/gpt-4.1,colon,zero_shot
1,9,1453,461,lakes : wildlife :: nights : ____,stars,sleep,llm,human,2,R_5amKzKChLNeFFIi,google/gemini-3.1-flash-lite-preview,colon,zero_shot
1,10,501,441,estimate : conjecture :: delight : ____,upsetting,elation,human,llm,1,R_3j7GTAmvFVgPZn4,openai/gpt-4.1,colon,zero_shot
1,11,1674,130,kettle : boil :: boiler : ____,heat,Pot,llm,human,2,R_5RbgDkGjcydIb73,deepseek-ai/DeepSeek-V3,colon,zero_shot
1,12,1045,267,athlete : unathletic :: weights : ____,weightless,light,llm,human,2,R_8CPpU57kBhw9DZm,deepseek/deepseek-v3.2,colon,zero_shot
1,13,688,451,kansas : field :: holiday : ____,beach,Rest,llm,human,2,R_9jIkpm5e43uXdqV,meta-llama/llama-3.3-70b-instruct,colon,zero_shot
1,14,762,313,basket : rim :: midwest : ____,corn,Desert,llm,human,2,R_27Q1rvssDdJ1QbL,openai/gpt-4.1,colon,zero_shot
1,15,1381,383,memoir : story :: prizes : ____,Games,awards,human,llm,1,R_2KoSF7kTOcJXhin,deepseek-ai/DeepSeek-V3,colon,zero_shot
1,16,370,129,waste : disposal :: wineries : ____,production,profitable,llm,human,2,R_6Xmw9zBHaqjJrBs,google/gemini-3-flash-preview,colon,zero_shot
1,17,1614,500,nights : blackness :: venice : ____,canals,Italian,llm,human,2,R_2etIuxra6FAshMV,deepseek-ai/DeepSeek-V3,colon,zero_shot
1,18,666,327,labour : worker :: spacecraft : ____,Astronaut,astronaut,human,llm,1,R_8yfTZZpxq7SRaRv,openai/gpt-4.1,colon,zero_shot
1,19,583,147,pencils : notetaking :: stomach : ____,digestion,digestion,human,llm,1,R_7vwtiSNkqmi7RkZ,google/gemini-3-flash-preview,colon,zero_shot
1,20,835,263,excitement : collected :: bang : ____,muffled,spark,llm,human,2,R_1eIGYLKJzIQxHot,openai/gpt-4.1,colon,zero_shot
1,21,1396,90,wolverine : claw :: nodded : ____,shaken,head,human,llm,1,R_3DdXoi535SoYYGx,anthropic/claude-sonnet-4.5,colon,zero_shot
1,22,162,80,wastes : time :: broadcast : ____,show,information,human,llm,1,R_6c6DhyU5qp6nVnN,openai/gpt-4.1,colon,zero_shot
1,23,392,206,broke : fixed :: applied : ____,removed,theoretical,human,llm,1,R_6c6DhyU5qp6nVnN,google/gemini-3-flash-preview,colon,zero_shot
1,24,1632,430,yell : scream :: sprung : ____,leaped,Jumped,llm,human,2,R_7kLFdF6f93m98Ht,anthropic/claude-sonnet-4.5,colon,zero_shot
1,25,676,35,films : cinematographic :: yards : ____,Scenery,measurement,human,llm,1,R_9jIkpm5e43uXdqV,openai/gpt-5.4-mini,colon,zero_shot
